"194184","occ","8736","","19915","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Blancan","","4.9","1.8","Alroy","2002","6294","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-118.000000","43.000000","Murphy (IMNH 145)","","","US","Idaho","Owyhee","based on political unit","1","small collection","","gp_mid","-116.59","43.67","129","US","FED","Glenns Ferry","","upper","","","","","","","","","said to be  Blancan","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","the town of Murphy is well south of the Snake River<br>some paleomag is apparently available<br>said to be Blancan (""possibly late Blancan"")","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"194194","occ","8738","","19916","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Blancan","","4.9","1.8","Alroy","2002","6294","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-118.000000","43.000000","Murphy (IMNH 659)","","","US","Idaho","Owyhee","based on political unit","1","small collection","","gp_mid","-116.59","43.67","129","US","FED","Glenns Ferry","","upper","","","","","","","","","said to be  Blancan","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","some paleomag is apparently available<br>said to be Blancan (""possibly late Blancan"")","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"195877","occ","9158","","20127","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","McDonald","1995","2499","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-117.099998","32.900002","Vallecito Creek (CU 59)","","","US","California","San Diego","based on political unit","1","small collection","Anza-Borrego Desert State Park","gp_mid","","","","US","","Palm Spring","","Huesos/Tapiado","","","FCVC","3826","bottom to top","","","","said to be  Irvingtonian","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","biostratigraphic","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196000","occ","9175","","20143","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","McDonald","1995","2499","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-98.099998","40.200001","Angus","","UNSM No-101","US","Nebraska","Nuckolls","based on political unit","1","small collection","","gp_mid","-97.70","40.43","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","","UNSM","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196196","occ","","","20165","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Schultz","1969","3081","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-100.495201","37.044701","Butler Spring (Lower)","","UM-K3-61","US","Kansas","Meade","stated in text","4","small collection","from two localities: unnamed from ""SE1/4SE1/4 sec. 32, T. 34 S., R. 29 W., XI Ranch"" and UM-K3-61 from ""NE1/4NW1/4 sec. 5, T. 35 S., R. 29 W., XI Ranch""; coordinate based on first locality","gp_mid","-100.12","37.28","101","US","","Kingsdown","","lower","group of beds","","Meade","9","bottom to top","","","","from one bed at one locality and ""beds equivalent"" to it at another; said to be late Illinoian","""gray, clayey-sand""","sandstone","gray","","argillaceous","","","","","","","sinkhole","","""of sinkhole origin""","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","general faunal/floral","bulk,sieve,field collection","","","","","","","","this is the major Butler Spring fauna\nnot clear which localities are included in the ""Butler Spring"" list of Hibbard and Taylor 1960, but the Adams fauna is merged into it","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196613","occ","","","20259","Paramylodon ? harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Pajak et al.","1996","2725","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-117.000000","33.900002","California Oaks (SBCM 05.006.603)","","","US","California","Riverside","based on political unit","1","small collection","","gp_mid","-116.58","34.09","105","US","","""unnamed sandstone""","","","","","Temec","1","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","2 specimens","","","","","NISP 2","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196727","occ","","","20283","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Mooser and Dalquest","1975","2607","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-102.300003","21.799999","Cedazo","","Arroyo Cedazo; Arroyo San Francisco","MX","Aguascalientes","","based on nearby landmark","1","","SE of Aguascalientes","gp_mid","-101.99","22.04","104","MX","","Tacubaya","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","from ""lower few meters"" of Fm.<br>said by Kurten and Anderson 1980 to be Sangamonian, but by both Mooser and Dalquest and Miller and Carranza 1984 to be Illinoian","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196900","occ","9365","","20293","Paramylodon ? harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Alroy","2002","6294","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-98.099998","39.799999","Courtland Canal","","","US","Kansas","Jewell","based on political unit","1","","","gp_mid","-97.70","40.03","101","US","","","","","","","","","","","","","","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196919","occ","","","20295","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Hibbard and Taylor","1960","1907","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-100.300003","37.200001","Cragin Quarry Locality 1","","Big Springs Loc. 1; KU Locality 6; USGS 21274","US","Kansas","Meade","based on political unit","1","small collection","","gp_mid","-99.92","37.44","101","US","","Kingsdown","","upper","","","Meade","10","bottom to top","","","","","","","","","","","","","","","","terrestrial indet.","","","macrofossils,mesofossils","","","","","","","","body","","","","","","","","","","","","","","","USGS","","","","","","","originally reported by Hibbard 1939c<br>list of Hibbard 1970c includes Butler Spring and other authors include the upper Butler Spring sites in the ""Cragin Quarry"" fauna; Hibbard and Taylor mention three other ""Cragin Quarry"" sites (Localities 2, 3, 4) but no records are given","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
"196979","occ","","","20299","Paramylodon harlani","species","49881","","Paramylodon harlani","","species","48020","Irvingtonian","","1.8","0.3","Morgan and Hulbert","1995","2615","Chordata","Mammalia","Xenarthra","Mylodontidae","Paramylodon","","","","","-82.199997","28.799999","Crystal River Power Plant","","","US","Florida","Citrus","based on political unit","1","","","gp_mid","-81.83","28.97","109","US","","Bermont","","","","","","","","","","","said to be early Irvingtonian","","","","","","","","","","","","terrestrial indet.","","","","","","","","","","","body","","","","","","","","","","","","","","","","","","","","","","","terrestrial","","actively mobile","ground dwelling","","herbivore","viviparous","","hydroxyapatite","","",""
